temporada,categoria,competicion,grupo,jornada,cod_acta,equipo_local,equipo_visitante,equipo,rival,local_visitante,evento,minuto,parte,jugador,tipo_gol,jugador_entra,jugador_sale,num_sustitucion,resultado_parcial
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,S.D. DUBRA B,C.F. CIRE DE MELIDE,visitante,sustitucion,78,2,,,"BALEATO DOMINGUEZ, MARCO","PARAFITA BOQUETE, ANGEL",4,4-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,C.D. SAN MAMED,TRAZO C.F.,local,gol,19,1,"RENDO GUITIAN, ALEXANDRE",normal,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,C.D. SAN MAMED,TRAZO C.F.,local,tarjeta amarilla,30,1,"PEREZ MARTINEZ, SAMUEL",,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,C.D. SAN MAMED,TRAZO C.F.,local,gol,47,2,"VAZQUEZ PEÑA, JOSE L",normal,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,TRAZO C.F.,C.D. SAN MAMED,visitante,sustitucion,50,2,,,"CELA LOPEZ, LUIS","BECERRA VARELA, ESTEBAN",1,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,TRAZO C.F.,C.D. SAN MAMED,visitante,tarjeta amarilla,52,2,"NOYA BREA, ALVARO",,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,TRAZO C.F.,C.D. SAN MAMED,visitante,tarjeta amarilla,56,2,"BERMUDEZ CID, CARLOS",,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,TRAZO C.F.,C.D. SAN MAMED,visitante,sustitucion,58,2,,,"GARCIA LOPEZ, PABLO","MARTINEZ DE SANTIAGO, DIEGO",2,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,TRAZO C.F.,C.D. SAN MAMED,visitante,sustitucion,58,2,,,"CEBEY DE LA TORRE, MANUEL","FERREIRA PARENTE, RAUL",3,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186949,C.D. SAN MAMED,TRAZO C.F.,C.D. SAN MAMED,TRAZO C.F.,local,gol,60,2,"RENDO GUITIAN, ALEXANDRE",normal,,,,3-0
