minuto,jugador,tipo_gol,equipo,marcador,cod_acta
19,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,0-1,1186984
22,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,1-1,1186984
34,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,1-2,1186984
79,"MARTINEZ RODRIGUEZ, JOSE EMILIO",Normal,S.D. CACHEIRAS,2-2,1186984
90'+1,"SOUTO BUJAN, JULIO",Normal,S.D. CACHEIRAS,3-2,1186984
90'+5,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,4-2,1186984
85,"GARCÍA CASAL, SANTIAGO",Propia Puerta,S.D. CRUCES,1-0,1186985
15,"BARDANCA REY, GONZALO",Normal,S.D. DUBRA B,1-0,1186986
27,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,1-1,1186986
56,"RAMAS MUIÑO, MARTIN",Normal,S.D. DUBRA B,2-1,1186986
62,"GARCIA MARROZOS, XABIER",Normal,S.D. DUBRA B,3-1,1186986
67,"RAMAS MUIÑO, MARTIN",Normal,S.D. DUBRA B,4-1,1186986
89,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,4-2,1186986
36,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,0-1,1186987
37,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,0-2,1186987
50,"CERVIÑO CARRACEDO, ANDRES",Normal,C.D. SPORT TEAM ESTRADA,0-3,1186987
51,"TOUCEDA GOLDAR, MIGUEL",Normal,C.D. SPORT TEAM ESTRADA,0-4,1186987
39,"FERREIRO RIAL, RUBEN",Normal,SOCIEDADE DEPORTIVA O PINO,0-1,1186988
13,"TEMBRA SOUTO, SANTIAGO",Normal,S.D.C. RECESENDE,0-1,1186989
16,"SENDE MALLO, DIEGO",Normal,C.D. SAN MAMED,1-1,1186989
47,"BESTEIRO SAEZ, JAVIER",Normal,C.D. SAN MAMED,2-1,1186989
81,"CHAS BROCOS, IAGO SENEN",Normal,C.D. SAN MAMED,3-1,1186989
44,"MOSTEIRO GARCIA, SERGIO",Normal,C.F. CIRE DE MELIDE,1-0,1186990
24,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,0-1,1186991
45'+4,"VAAMONDE CALVIÑO, MANUEL",Penalti,S.D. CACHEIRAS,0-2,1186991
77,"NUÑEZ GONZALEZ, MIGUEL",Propia Puerta,S.D. CACHEIRAS,0-3,1186991
86,"OTERO MATEOS, PABLO",Normal,S.D. CACHEIRAS,0-4,1186991
89,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,1-4,1186991
64,"OTERO MARTINEZ, CHRISTIAN",Normal,S.D. CRUCES,0-1,1186992
67,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,1-1,1186992
79,"AGUIAR RODRIGUEZ, JULIAN",Normal,LAMELA C.F.,2-1,1186992
7,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,0-1,1186993
15,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,0-2,1186993
45'+1,"LIÑARES NOYA, FABIAN",Normal,S.D. DUBRA B,0-3,1186993
89,"PARADA CASTIÑEIRAS, OSCAR",Penalti,A.C.U.D. CAMPORRAPADO,1-3,1186993
9,"VAZQUEZ POMAR, MARCOS",Normal,C.D.BELVIS,1-0,1186994
22,"MIGUEZ MEIJOMIL, MIGUEL",Penalti,C.D.BELVIS,2-0,1186994
30,"ARIAS GARCIA, SERGIO",Normal,TRAZO C.F.,2-1,1186994
32,"PROL BREA, DIEGO",Normal,C.D.BELVIS,3-1,1186994
41,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,4-1,1186994
51,"NIETO GESTO, CARLOS",Normal,TRAZO C.F.,4-2,1186994
65,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,4-3,1186994
34,"VARELA MIRANDA, MATEO",Normal,C.D. SPORT TEAM ESTRADA,1-0,1186995
52,"FUENTES CORREA, MANUEL",Normal,C.D. SPORT TEAM ESTRADA,2-0,1186995
76,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,3-0,1186995
83,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,4-0,1186995
53,"FARIÑAS LOPEZ, ALEJANDRO",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1186996
58,"VAZQUEZ CORRAL, JORGE",Normal,SOCIEDADE DEPORTIVA O PINO,2-0,1186996
80,"FARIÑAS LOPEZ, ALEJANDRO",Normal,SOCIEDADE DEPORTIVA O PINO,3-0,1186996
85,"CEREIJO IGLESIAS, ALBERTO L",Normal,SOCIEDADE DEPORTIVA O PINO,4-0,1186996
48,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,0-1,1186997
88,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-2,1186997
33,"CALVO DAFONTE, RAÚL",Normal,RODEIRO C.F.,0-1,1186998
18,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,1-0,1186999
32,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,2-0,1186999
44,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,3-0,1186999
68,"AMBOAGE VILLAR, IVAN",Normal,U.D. VAL DO ULLA,3-1,1186999
37,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,0-1,1187000
51,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,0-2,1187000
70,"OTERO IGLESIAS, OSCAR",Normal,S.D. CRUCES,1-2,1187000
77,"DEL PUERTO DUARTE, VICTOR MANUEL",Normal,C.F. SILLEDA,1-3,1187000
