jugador_entra,jugador_sale,minuto,equipo,cod_acta
"LAREO GARCIA, PABLO","VAZQUEZ BALBOA, XURXO",79,S.D. CRUCES,1186962
"LYAGOUBI, MOHAMED AMINE","FAILDE FIESTRAS, ALEJANDRO",79,S.D. CRUCES,1186962
"ALDREY MÍGUEZ, MANUEL","TEMBRA SOUTO, SANTIAGO",43,S.D.C. RECESENDE,1186963
"MOIMENTA MOHAMMED, MIGUEL","MUIÑA BARREIRO, ALEJANDRO",51,S.D.C. RECESENDE,1186963
"NOYA GOMEZ, DANIEL","FRANCO SANMARTIN, CARLOS L",66,S.D.C. RECESENDE,1186963
"GARCIA DURAN, RUBEN","NUÑEZ BARRAL, DAVID",66,S.D.C. RECESENDE,1186963
"CALVO CUTRIN, RAUL","DE LA TORRE CUEVAS, FERNANDO",66,S.D.C. RECESENDE,1186963
"NIETO GARCIA, BRAIS","RODRIGUEZ FERNANDEZ, ADRIAN",60,S.D. DUBRA B,1186963
"BARDANCA REY, GONZALO","DUBRA LORENZO, ALEJANDRO",60,S.D. DUBRA B,1186963
"NOYA ALCALDE, MATEO","RAMAS MUIÑO, YAGO",72,S.D. DUBRA B,1186963
"VÁZQUEZ FERNÁNDEZ, ROBERTO","FORJAN GARCIA, ADRIAN",72,S.D. DUBRA B,1186963
"BALEATO DOMINGUEZ, MARCO","IGLESIAS DOMINGUEZ, OSCAR",77,S.D. DUBRA B,1186963
"AREÁN DIEGUEZ, OVIDIO","QUINTÁ GARCÍA, DAVID",46,RODEIRO C.F.,1186964
"LÓPEZ MÉNDEZ, MARCOS","CANGADO VILLAMARIN, CARLOS",46,RODEIRO C.F.,1186964
"LAMAZARES CASERO, ALBERTO","CUÑARRO FERNÁNDEZ, PABLO",61,RODEIRO C.F.,1186964
"CASTRO OTERO, SAMUEL","MARTINEZ DE SANTIAGO, DIEGO",67,TRAZO C.F.,1186964
"BERTOA VIQUEIRA, JOSE J","NOYA BREA, ALVARO",75,TRAZO C.F.,1186964
"ROA BECERRA, JAVIER","CANCELA CONDE, ALEJANDRO",80,TRAZO C.F.,1186964
"VAZQUEZ NOVAS, MANUEL","SESTO MOSQUERA, ANXO",46,C.F. CIRE DE MELIDE,1186965
"PARRADO ROMERO, CARLOS","PAMPIN NOGUEROL, DANIEL",66,C.F. CIRE DE MELIDE,1186965
"MOSTEIRO GOMEZ, ADRIAN","CASTRELO FERNANDEZ, MIGUEL",72,C.F. CIRE DE MELIDE,1186965
"CASTRO MOAR, ADRIAN","PEROL SEOANE, MICHAEL",46,S.D. VILLESTRO,1186965
"RODRIGUEZ GONZALEZ, YAGO","GONZALEZ CALVELO, LEO",46,S.D. VILLESTRO,1186965
"CASTRO MOAR, BRAIS","DOS SANTOS MARQUES, ALEANDRO",67,S.D. VILLESTRO,1186965
"TABOADA MATO, DAVID","DE SOUSA OLIVEIRA, THIAGO",82,S.D. VILLESTRO,1186965
"DIEGUEZ LOUREIRO, RAMIRO","CASAL REBOLO, PEDRO J",53,U.D. VAL DO ULLA,1186966
"SANCHEZ CARPINTEIRO, MIGUEL","CERDEIRA OTERO, ANDRE",53,U.D. VAL DO ULLA,1186966
"TAIBO MERA, FRANCISCO","ROMARÍS CAMPAÑA, ALBERTO",84,U.D. VAL DO ULLA,1186966
"RODRIGUEZ NUÑEZ, XABIER","CALVIÑO IGLESIAS, PABLO",87,U.D. VAL DO ULLA,1186966
"CANICOBA BERNARDEZ, BRAIS","FREIRIA LOPEZ, JORGE",88,U.D. VAL DO ULLA,1186966
"MACEIRA MATO, ALFONSO","SENDE MALLO, DIEGO",68,C.D. SAN MAMED,1186966
"REY CALVO, BRAIS","GRANATA LOPEZ, DANIEL",68,C.D. SAN MAMED,1186966
"CANABAL PARADA, RUBEN","BESTEIRO SAEZ, JAVIER",75,C.D. SAN MAMED,1186966
"REY CALVO, MARTIN","RENDO GUITIAN, ALEXANDRE",84,C.D. SAN MAMED,1186966
"LÓPEZ PÉREZ, ALBERTO","VILLAMAYOR RIVADULLA, PEDRO",55,LAMELA C.F.,1186967
"PEITEADO MOLEDO, SERGIO","ABONJO BOUZAS, ALEJANDRO",55,LAMELA C.F.,1186967
"FIGUEIRAS GAGO, ALEJANDRO","RIVEIRA MURCIA, HUGO",55,LAMELA C.F.,1186967
"RIOS ALCAIDE, JUAN MANUEL","GOMEZ SANTISO, ALEJANDRO",65,LAMELA C.F.,1186967
"PORTELA RIVAS, XIAO","DOVAL GARCIA, ION",76,LAMELA C.F.,1186967
"CANICOBA BERNARDEZ, BRAIS","RODRIGUEZ NUÑEZ, XABIER",58,U.D. VAL DO ULLA,1186967
"CERDEIRA OTERO, ANDRE","CALVIÑO IGLESIAS, PABLO",58,U.D. VAL DO ULLA,1186967
"LANDEIRA GANDARA, FRANCISCO","FREIRIA LOPEZ, JORGE",70,U.D. VAL DO ULLA,1186967
"BESADA REY, NICOLAS","MERA SOUTO, ALEJANDRO",75,U.D. VAL DO ULLA,1186967
"CASAL REBOLO, PEDRO J","DIEGUEZ LOUREIRO, RAMIRO",75,U.D. VAL DO ULLA,1186967
"NUÑEZ GONZALEZ, MIGUEL","ESPIÑO RODRIGUEZ, AARON",46,C.F. SILLEDA,1186968
"NOGUEIRA GONZALEZ, PABLO","RIELO COUSO, HUGO",64,C.F. SILLEDA,1186968
"ESPANTOSO LAMAS, JORGE","LOPEZ DE LA FUENTE, ELOI",75,C.F. SILLEDA,1186968
"FERREIRO ESPANTOSO, DIEGO","LOTO , ALAN NICOLAS",84,C.F. SILLEDA,1186968
"PAJARO BARRAN, DANIEL","GUERRERO NIEVES, FRANCISCO J",46,A.C.U.D. CAMPORRAPADO,1186968
"LOPEZ CANICOBA, FABIAN","VIEITES BOUZON, MARTIN",69,A.C.U.D. CAMPORRAPADO,1186968
"LOPEZ BREA, SANTIAGO","ALDREY GONTAD, XIAN",76,A.C.U.D. CAMPORRAPADO,1186968
"SANMARTIN LAREO, MANUEL ANGEL","DOS REIS FERRO, OSCAR",76,A.C.U.D. CAMPORRAPADO,1186968
"PEREIRAS PEREIRO, RAFAEL","VILLAR MELLA, ROI",82,A.C.U.D. CAMPORRAPADO,1186968
"CANTELAR VILLAR, JAIRO","ROMERO DURO, SANDRO",80,S.D. CACHEIRAS,1186969
"DOSUNA SOUTO, BRAIS","VAAMONDE CALVIÑO, MANUEL",85,S.D. CACHEIRAS,1186969
"SANCHEZ PINTOS, JUAN A","(90+2') CANTELAR VILLAR, JAIRO",0,S.D. CACHEIRAS,1186969
"SEIJO CASTRO, YAGO","FRANCOS CREGO, JULIAN",63,C.D.BELVIS,1186969
"FERNANDEZ PEREZ, JESUS DE BELEN","VILLAVERDE SIXTO, BRAIS",63,C.D.BELVIS,1186969
"IGLESIAS QUINTEIRO, JOSE RAMON","ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",63,C.D.BELVIS,1186969
"RODRIGUEZ VILAS, BRAIS","AMIGO FERNANDEZ, JUAN JOSE",79,C.D.BELVIS,1186969
